"","RMSE","MAE","modelo","RMSE_porc","MAE_porc","nombre"
"47",1132.72314199823,966.557181909005,"ARIMA",14.0041187117294,11.9497704383879,"06020403_leon_campomanes_A_66"
"48",834.932200052346,662.222442252317,"ETS_log",10.3224602837652,8.1872095228079,"06020403_leon_campomanes_A_66"
"49",1299.57935173195,1098.56026702304,"ARIMA_log",16.0670007013902,13.5817551712066,"06020403_leon_campomanes_A_66"
"50",2997.4725989809,2494.44178992374,"ETS",10.3795993523933,8.63771245017483,"06020501_malaga_guadiaro"
"51",2123.05682901686,1773.58959985228,"ARIMA",7.35168664929571,6.14155721333268,"06020501_malaga_guadiaro"
"52",2954.1149620442,2449.5834356252,"ETS_log",10.2294612325578,8.48237767067266,"06020501_malaga_guadiaro"
"53",2976.31941338027,2570.29019820699,"ARIMA_log",10.3063504454188,8.90035908446418,"06020501_malaga_guadiaro"
"54",1290.43586526552,1048.83563533343,"ETS",6.6453941615754,5.40121860768561,"06020502_alicante_cartagena"
"55",2058.5180755474,1332.6341185334,"ARIMA",10.6008088963998,6.8627037028267,"06020502_alicante_cartagena"
"56",4406.77173908165,2916.1031955855,"ETS_log",22.6936773647895,15.0171393031671,"06020502_alicante_cartagena"
"57",4394.2934778487,2907.20842527267,"ARIMA_log",22.6294177091367,14.9713336523041,"06020502_alicante_cartagena"
"58",680.07566753376,579.937280219405,"ETS",8.60800794296259,7.34051364115443,"06020503_avila_villacastin"
"59",573.498244415539,473.663586020044,"ARIMA",7.25901201715764,5.9953621418903,"06020503_avila_villacastin"
"60",716.657446619997,617.058871012034,"ETS_log",9.07103913195364,7.81037745727529,"06020503_avila_villacastin"
"61",539.344412990573,452.581246805279,"ARIMA_log",6.82671239783018,5.72851397766318,"06020503_avila_villacastin"
"62",367.811559863755,295.72953467581,"ETS",9.17121455837812,7.37388192683729,"06020601_leon_astorga"
"63",727.050081367731,647.671523046205,"ARIMA",18.1286642904309,16.1493959118864,"06020601_leon_astorga"
"64",396.363432527585,313.42812996668,"ETS_log",9.88314256395924,7.81518837967035,"06020601_leon_astorga"
"65",807.545929531932,702.790835091333,"ARIMA_log",20.135791784863,17.5237709784649,"06020601_leon_astorga"
"66",418.518454596296,331.117246891038,"ETS",6.78092116973908,5.36482901638104,"06020602_santiago_alto_sto_domingo"
"67",172.673641560641,144.829615581021,"ARIMA",2.79769347959562,2.34655890442354,"06020602_santiago_alto_sto_domingo"
"68",430.567642806346,348.539237348943,"ETS_log",6.9761445691242,5.64710365114943,"06020602_santiago_alto_sto_domingo"
"69",314.344311274312,270.871231184445,"ARIMA_log",5.09307050023189,4.38871080985815,"06020602_santiago_alto_sto_domingo"
"70",433.762443907819,331.04627948736,"ETS",5.99616317262675,4.57625490029527,"06020603_segovia_san_rafael"
"71",616.765298689048,526.978139191542,"ARIMA",8.52592339907449,7.28474065788695,"06020603_segovia_san_rafael"
"72",722.912015643944,615.837006848281,"ETS_log",9.99325429422096,8.51309105402655,"06020603_segovia_san_rafael"
"73",572.809424788994,492.343806156933,"ARIMA_log",7.91829450910968,6.80596912022302,"06020603_segovia_san_rafael"
"74",329.272460580557,285.579372486678,"ETS",6.92767642711039,6.00840253496061,"06020701_madrid_guadalajara"
"75",675.632574985716,607.958178445583,"ARIMA",14.2148658738842,12.7910409940161,"06020701_madrid_guadalajara"
"76",251.245093624798,214.386701757569,"ETS_log",5.28603184567217,4.51055547564841,"06020701_madrid_guadalajara"
"77",582.984113125502,517.694176791752,"ARIMA_log",12.2656030533453,10.8919456509941,"06020701_madrid_guadalajara"
"78",690.040390861021,595.65525417507,"ETS",6.43724418919745,5.55674475651915,"06020702_madrid_arganda"
"79",571.179379665681,463.330976295561,"ARIMA",5.32841438188051,4.32231891688569,"06020702_madrid_arganda"
"80",552.11595539473,476.838367151576,"ETS_log",5.1505756368742,4.44832657448179,"06020702_madrid_arganda"
"81",3675.67906372297,2923.56985331732,"ARIMA_log",34.2896502982693,27.2733789198873,"06020702_madrid_arganda"
"82",1422.7033567313,1122.38247538726,"ETS",19.0353673632767,15.0171591569074,"06020703_madrid_navalcarnero"
"83",1668.13103835114,1336.89792925017,"ARIMA",22.3191201277916,17.8873150822875,"06020703_madrid_navalcarnero"
"84",1478.63715540752,1163.53977092117,"ETS_log",19.7837457239433,15.5678320968848,"06020703_madrid_navalcarnero"
"85",1587.62075335583,1252.13542421937,"ARIMA_log",21.2419153512956,16.7532168078589,"06020703_madrid_navalcarnero"
"86",793.285188968428,613.162069575983,"ETS",16.0017183856466,12.3683725582649,"06020801_madrid_ocana"
"87",1143.8375579188,899.348979236322,"ARIMA",23.0728705581201,18.1411796114235,"06020801_madrid_ocana"
"88",908.86680875068,715.734729552684,"ETS_log",18.3331681038967,14.4374125981378,"06020801_madrid_ocana"
"89",1092.12650487735,795.610317234322,"ARIMA_log",22.0297832552164,16.0486196113832,"06020801_madrid_ocana"
"90",1178.36501504568,958.492609118781,"ETS",5.87303137482894,4.77717608213108,"06020802_eje_aeropuerto"
"91",1074.49532983398,893.922306540621,"ARIMA",5.35533956256967,4.45535439862749,"06020802_eje_aeropuerto"
"92",763.175259721565,626.390917421757,"ETS_log",3.80370444438579,3.12196430134448,"06020802_eje_aeropuerto"
"93",1500.09175469627,1377.71857510538,"ARIMA_log",7.47653386511299,6.86661969251086,"06020802_eje_aeropuerto"
"94",495.501884433889,315.130297624426,"ETS",17.0892182939779,10.8684358553001,"06020803_ocana_la_roda"
"95",729.902086379412,447.750405658149,"ARIMA",25.1733776988933,15.4423316315968,"06020803_ocana_la_roda"
"96",445.373750602715,281.49571971327,"ETS_log",15.3603638766241,9.70842282163373,"06020803_ocana_la_roda"
"97",817.950113601692,500.855281205385,"ARIMA_log",28.2100401311154,17.2738500157057,"06020803_ocana_la_roda"
"98",417.84729243916,353.680026896998,"ETS",50.1617397886147,42.4585866623047,"06020901_madrid_toledo"
"99",537.912448493634,487.055752877562,"ARIMA",64.5753239488156,58.470078376658,"06020901_madrid_toledo"
"100",194.679155583018,161.140877487853,"ETS_log",23.3708470087656,19.3446431558047,"06020901_madrid_toledo"
"101",364.03831725182,328.067817626965,"ARIMA_log",43.7020789017791,39.3838916719045,"06020901_madrid_toledo"
