TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;
;;;;;
MONTMELO-PAPIOL A-7;;;;;
;;;;;
;;;;;
Ene;26,6;107.149;14,8;28.190;15
2005 Dic;26,6;104.639;12,1;25.693;8,3
Nov;26,6;112.258;16,3;30.072;14
Oct;26,6;110.103;10,4;25.722;4,9
Sep;26,6;117.057;13,8;27.249;5,5
Ago;26,6;110.233;10,5;18.953;6,2
Jul;26,6;128.305;11,7;26.747;3,6
Jun;26,6;118.177;13,1;29.011;7,1
May;26,6;116.745;14,8;28.296;10,2
Abr;26,6;112.887;10,5;28.888;14,4
Mar;26,6;108.760;10,6;27.218;-1,6
Feb;26,6;103.412;11;28.243;11
Ene;26,6;93.373;8;24.519;6
2004 Dic;25;93.345;6,3;23.722;6
Nov;25;96.484;3,4;26.389;5,7
Oct;25;99.766;3,1;24.531;-1,1
Sep;25;102.857;3,1;25.829;14,7
Ago;25;99.744;2,8;17.844;5,2
Jul;25;114.867;1;25.823;10,4
Jun;25;104.524;8,9;27.096;17,8
May;25;101.719;3,4;25.670;5,3
Abr;25;102.150;4,8;25.251;9,5
Mar;25;98.322;4,5;27.656;13,7
Feb;25;93.177;4,1;25.433;2,1
Ene;25;86.427;2,7;23.139;1,3
2003 Dic;25;87.814;4,6;22.384;10,8
Nov;25;93.338;2,1;24.965;6
Oct;25;96.804;5,3;24.808;6,4
Sep;25;99.757;6;22.519;10,8
Ago;25;96.990;5,4;16.965;24,4
Jul;25;113.703;6,8;23.398;-15,4
Jun;25;95.979;-0,6;23.006;-7,5
May;25;98.407;2;24.386;-8,9
Abr;25;97.443;2,8;23.061;-17,3
Mar;25;94.120;1,4;24.331;-7,5
Feb;25;89.533;0,3;24.905;-9,5
Ene;25;84.184;2,7;22.853;-6,7
2002 Dic;25;83.946;5,3;20.209;-10,3
Nov;25;91.403;3,9;23.544;-12,4
Oct;25;91.942;3,3;23.319;-12,6
Sep;25;94.116;2,3;20.329;-17,1
Ago;25;92.029;0,4;13.635;-33,8
Jul;25;106.440;1,6;27.654;-0,8
Jun;25;96.564;-0,9;24.870;-7,1
May;25;96.460;3,7;26.770;-5,4
Abr;25;94.753;3;27.898;11,2
Mar;25;92.800;2,7;26.313;-4,2
Feb;25;89.247;5,1;27.522;2,3
Ene;25;81.934;3,5;24.481;0,8
2001 Dic;25;79.728;1,7;22.542;4,6
Nov;25;87.957;5,7;26.888;3,8
Oct;25;88.999;9,4;26.679;13,6
Sep;25;92.041;3,6;24.537;-0,5
Ago;25;91.627;8,9;20.602;11,1
Jul;25;104.726;5,7;27.881;10,9
Jun;25;97.422;8,2;26.761;2,5
May;25;93.035;6,8;28.300;5,3
Abr;25;92.024;8,6;25.098;9,5
Mar;25;90.376;9,4;27.476;6,2
Feb;25;84.915;6,9;26.905;7,8
Ene;25;79.169;15,8;24.282;17,1
2000 Dic;25;78.364;16,8;21.548;12,4
Nov;25;83.177;19,7;25.901;22,1
Oct;25;81.336;12,8;23.489;24,3
Sep;25;88.870;19,7;24.672;39,3
Ago;25;84.177;16,7;18.552;75,8
Jul;25;99.102;16,2;25.140;45,7
Jun;25;90.025;20,4;26.116;34,1
May;25;87.096;19;26.878;37,5
Abr;25;84.743;23,9;22.913;28,8
Mar;25;82.585;29,6;25.880;36,1
Feb;25;79.461;24,1;24.961;25,4
Ene;25;68.357;18,2;20.740;18
1999 Dic;25;67.101;10,5;19.178;8,4
Nov;25;69.511;9,5;21.215;8,6
Oct;25;72.084;11;18.902;8,3
Sep;25;74.232;13,3;17.711;14,5
Ago;25;72.119;7;10.550;20,5
Jul;25;85.273;13;17.255;6,1
Jun;25;74.765;14,3;19.468;8,9
May;25;73.190;14,4;19.551;18,9
Abr;25;68.380;0,9;17.784;13,9
Mar;25;63.711;6,8;19.019;10,6
Feb;25;64.036;10,5;19.899;13,4
Ene;25;57.828;11,5;17.571;5,7
1998 Dic;25;60.723;10,6;17.692;6,9
Nov;25;63.468;11,3;19.534;8,5
Oct;25;64.931;7,9;17.453;-1,1
Sep;25;65.535;7;15.473;3,4
Ago;25;67.408;7,3;8.752;8,5
Jul;25;75.451;8,8;16.262;7,5
Jun;25;65.384;8,9;17.877;8,3
May;25;63.952;6,7;16.438;-2,3
Abr;25;67.792;13,4;15.610;-12,6
Mar;25;59.642;7,8;17.191;9,8
Feb;25;57.950;7,3;17.549;-2,4
Ene;25;51.862;6,6;16.628;7,8
1997 Dic;25;54.899;10,2;16.550;39,2
Nov;25;57.030;12,7;17.997;6,4
Oct;25;60.154;12,3;17.640;8,8
Sep;25;61.249;13,3;14.970;22,5
Ago;25;62.796;10,3;8.063;29,7
Jul;25;69.370;10,4;15.133;25,4
Jun;25;60.045;10,2;16.509;24,1
May;25;59.944;13,6;16.823;13,9
Abr;25;59.785;17,2;17.851;44
Mar;25;55.351;10,1;15.655;4
Feb;25;54.026;14,3;17.983;11,1
Ene;25;48.638;7;15.425;-0,9
1996 Dic;25;49.809;11,7;11.893;-6,1
Nov;25;50.621;5,7;16.919;1,2
Oct;25;53.548;9,3;16.206;18
Sep;25;54.079;5,8;12.218;8,7
Ago;25;56.920;6,3;6.215;1,4
Jul;25;62.850;4,6;12.070;16,1
Jun;25;54.506;7,2;13.300;-0,5
May;25;52.761;9,1;14.765;-0,7
Abr;25;51.024;6,4;12.398;13,8
Mar;25;50.260;10,4;15.057;-4,7
Feb;25;47.286;8,3;16.187;4,7
Ene;25;45.445;8,9;15.559;8,8
1995 Dic;25;44.600;1,3;12.670;-7,3
Nov;25;47.883;7,1;16.712;4,1
Oct;25;48.983;8,5;13.731;5
Sep;25;51.095;4,4;11.240;-1,9
Ago;25;53.535;1,4;6.132;4,7
